,credit_score,gender,age,tenure,balance,num_products,credit_card,active,salary,churn,complain,satisfaction,points,country_F,country_G,country_S,card_D,card_G,card_P,card_S,umap_1,umap_2
118,0,0,1,8,2,1,1,0,3,1,1,1,2,0,1,0,0,0,0,1,19.780304,2.4006212
119,2,1,1,4,3,2,1,0,2,0,0,3,2,0,1,0,0,0,1,0,7.1115475,0.36522257
120,3,1,1,8,2,2,0,0,0,0,0,4,1,1,0,0,0,0,0,1,3.4726074,16.67043
121,2,1,2,6,2,1,0,0,2,0,0,1,3,0,0,1,0,0,1,0,13.185823,3.1177845
122,1,0,2,6,0,2,1,0,2,0,0,4,4,1,0,0,1,0,0,0,-4.6649094,-2.5090601
123,2,0,3,10,2,1,1,1,3,0,0,1,2,0,1,0,0,1,0,0,12.993455,-6.905956
124,1,0,1,3,0,1,0,0,3,0,0,4,5,1,0,0,0,1,0,0,-8.169013,3.5219655
125,0,1,2,9,3,1,1,0,2,1,1,3,2,1,0,0,1,0,0,0,-8.187345,-4.472723
126,0,0,3,1,0,1,0,1,0,1,1,4,2,1,0,0,1,0,0,0,-2.9010077,0.16345398
127,1,1,4,0,2,1,1,0,0,1,1,3,2,0,1,0,0,0,1,0,4.94089,3.986801
128,3,0,2,7,0,2,1,0,3,0,0,2,4,1,0,0,0,0,1,0,-7.4478803,13.172413
129,2,1,0,9,2,1,1,0,3,0,0,4,5,1,0,0,0,1,0,0,-16.155432,4.951098
130,2,0,1,3,0,2,1,1,2,0,0,2,1,1,0,0,0,0,1,0,-5.951104,16.119478
131,2,0,1,9,2,1,1,1,2,0,0,5,2,0,1,0,0,1,0,0,13.060742,-6.823434
132,2,1,2,9,2,1,1,1,0,0,0,4,3,1,0,0,1,0,0,0,-12.468206,-4.171092
133,2,1,1,1,0,2,0,1,0,0,0,1,3,1,0,0,1,0,0,0,-0.28341237,2.4418547
134,2,1,2,7,2,2,1,1,2,0,0,2,1,0,1,0,0,0,1,0,6.7038794,4.9228745
135,1,0,3,5,2,2,1,1,0,0,0,2,6,0,1,0,0,1,0,0,12.983717,-6.919702
136,0,0,1,5,1,1,0,1,3,0,0,1,2,0,1,0,0,0,0,1,19.399014,1.4704676
137,1,1,2,2,2,1,0,1,1,0,0,1,1,1,0,0,0,0,1,0,-2.059739,11.015234
138,1,0,3,2,3,1,1,0,1,1,0,4,6,0,0,1,1,0,0,0,11.610771,-11.937695
139,0,0,2,1,2,2,0,1,0,1,1,4,0,0,0,1,0,1,0,0,1.9970753,-6.2342477
140,2,1,2,10,2,1,1,0,3,0,0,5,7,0,1,0,0,0,1,0,7.0136247,0.4693481
141,1,1,1,7,0,2,1,1,3,0,0,3,7,1,0,0,0,0,0,1,7.9928627,12.300966
142,2,0,2,5,2,1,1,1,3,0,0,4,2,1,0,0,0,1,0,0,-8.677411,6.4049435
143,2,1,3,2,0,1,1,0,3,1,1,5,6,0,0,1,0,1,0,0,1.4341866,-4.5651803
144,2,0,1,5,1,1,1,0,2,1,0,2,2,1,0,0,0,0,0,1,5.9507504,19.477736
145,0,0,0,5,2,1,1,1,1,0,0,4,5,0,0,1,0,1,0,0,1.3885939,-6.600365
146,1,0,1,8,2,2,1,0,2,0,0,1,4,0,0,1,0,0,1,0,11.7428255,4.5858545
147,1,1,2,5,2,1,0,0,0,0,0,5,4,1,0,0,0,0,1,0,-2.0368972,12.391501
148,2,1,2,9,2,1,1,0,1,0,0,2,3,1,0,0,0,0,0,1,1.7351793,19.617292
149,0,1,1,0,0,2,0,1,0,0,0,5,6,1,0,0,0,1,0,0,-6.0589933,6.6219497
150,2,0,1,7,0,2,1,0,1,0,0,1,6,0,0,1,0,0,0,1,14.486918,11.84606
151,0,0,3,9,0,1,1,0,2,1,1,4,4,1,0,0,0,1,0,0,-9.455161,4.6080136
152,2,1,2,8,0,2,1,0,3,0,0,2,2,0,0,1,0,0,0,1,15.458263,10.423203
153,0,1,2,2,2,1,1,0,1,0,0,1,4,1,0,0,1,0,0,0,-8.571149,-6.7623086
154,1,0,2,6,0,2,1,1,2,0,0,1,1,1,0,0,0,0,1,0,-6.0448203,16.129774
155,2,1,4,7,0,1,1,0,0,1,1,1,5,0,0,1,0,1,0,0,1.4757293,-4.6057043
156,2,0,1,7,0,2,0,0,1,0,0,4,7,1,0,0,0,0,1,0,-4.4628563,12.924346
157,1,0,1,2,0,2,1,1,1,0,0,5,4,0,0,1,0,0,1,0,14.100123,4.8387713
158,1,0,5,6,1,1,0,1,2,0,0,1,0,1,0,0,0,0,1,0,-4.104472,15.043065
159,1,0,1,4,2,1,0,0,2,0,0,3,4,0,1,0,0,0,0,1,20.751896,1.8431668
160,2,0,0,6,2,1,0,1,1,0,0,2,4,0,0,1,0,1,0,0,2.1801453,-6.3954296
161,2,1,1,2,0,2,1,0,1,0,0,4,4,1,0,0,1,0,0,0,-8.992716,-6.412121
162,3,0,3,7,2,1,0,0,0,0,0,3,6,1,0,0,0,0,1,0,-4.404946,12.972172
163,2,0,2,2,0,2,1,1,2,0,0,5,3,0,0,1,0,0,0,1,15.524963,13.45514
164,2,1,1,0,2,1,1,0,1,1,1,1,1,0,0,1,0,0,1,0,12.689223,3.2558405
165,1,1,1,9,2,2,1,1,2,0,0,5,4,0,1,0,0,1,0,0,13.843596,-4.8106084
166,2,0,0,7,2,1,1,0,3,1,1,2,6,0,1,0,0,0,1,0,4.3941426,3.091721
167,1,0,2,9,2,1,1,0,3,0,0,1,3,0,0,1,0,0,1,0,11.76497,4.567432
168,1,0,2,2,0,2,1,0,0,1,1,5,1,0,0,1,0,0,1,0,12.631913,3.820467
169,2,1,0,9,1,2,0,0,1,0,0,5,4,0,1,0,0,0,0,1,20.534607,2.1139464
170,0,0,1,4,2,1,1,0,3,0,0,1,0,1,0,0,0,1,0,0,-10.061711,3.260815
171,1,1,1,5,1,2,1,0,3,0,1,2,6,0,1,0,0,0,0,1,20.167263,2.693747
172,0,1,2,10,2,1,1,0,0,1,1,1,5,0,1,0,0,1,0,0,10.897644,-4.077247
173,0,1,1,4,3,1,1,0,2,0,1,5,6,1,0,0,1,0,0,0,-8.230193,-4.4897094
174,0,1,2,5,0,2,1,1,2,0,0,3,2,1,0,0,1,0,0,0,-12.124374,-3.6385517
175,0,0,2,7,2,1,1,1,0,0,0,2,2,0,0,1,0,0,0,1,15.448038,13.403409
176,0,0,1,0,0,2,1,1,2,0,0,2,2,1,0,0,1,0,0,0,-2.7141263,1.5573032
177,1,1,2,5,3,2,0,0,3,0,0,5,7,0,1,0,0,0,1,0,6.023621,2.4148207
178,1,0,2,8,2,1,0,1,1,0,0,5,4,0,0,1,0,0,0,1,16.015518,12.658882
179,2,0,4,3,3,1,1,0,0,1,1,4,6,0,1,0,0,1,0,0,11.618213,-3.66981
180,3,0,3,2,2,1,1,1,0,0,0,5,5,0,0,1,0,1,0,0,1.4143555,-6.650437
181,0,1,5,2,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,1,7.857054,12.219745
182,2,0,3,1,3,2,1,0,3,0,0,2,0,0,1,0,1,0,0,0,2.4439275,-14.7873745
183,1,1,2,2,0,2,1,1,1,0,0,4,7,1,0,0,0,0,1,0,0.45196354,8.332893
184,3,0,3,4,0,1,1,1,0,1,1,2,2,1,0,0,0,1,0,0,-8.846955,5.6890984
185,0,1,1,8,0,2,1,0,1,0,0,4,2,1,0,0,0,0,1,0,0.45851916,12.383512
186,2,0,2,1,1,1,1,0,3,0,0,5,0,1,0,0,0,1,0,0,-8.720367,6.3687353
187,0,0,2,0,0,1,0,1,2,0,0,5,4,0,0,1,0,0,0,1,15.999216,12.646344
188,1,1,1,5,0,2,0,1,3,0,0,4,5,0,0,1,0,0,1,0,14.027298,3.2052674
189,2,0,1,7,2,2,1,0,2,0,0,4,3,0,1,0,0,1,0,0,12.034516,-2.7957401
190,2,0,2,8,1,2,0,0,1,1,1,4,5,1,0,0,0,1,0,0,-8.762185,4.466322
191,0,0,2,3,1,2,1,0,0,0,0,5,5,1,0,0,0,0,1,0,-7.5654936,13.066081
192,0,1,2,1,0,2,0,0,2,0,0,3,7,1,0,0,0,0,0,1,3.371223,16.57713
193,1,1,1,8,1,1,1,0,1,0,0,2,5,1,0,0,0,1,0,0,-16.100328,5.138715
194,1,1,1,9,1,2,1,0,2,0,0,1,3,0,0,1,1,0,0,0,11.0828285,-13.184947
195,3,1,2,3,3,1,1,1,0,0,0,3,6,1,0,0,0,0,0,1,7.1707726,11.994378
196,1,0,1,6,0,2,1,1,0,0,0,5,3,0,0,1,0,1,0,0,1.3079917,-6.6127634
197,2,1,2,3,2,1,1,1,3,0,0,1,2,0,1,0,0,0,1,0,6.648149,4.8660593
198,0,1,4,10,0,2,1,1,0,0,0,5,1,1,0,0,0,0,1,0,0.438687,8.425008
199,0,1,2,6,1,1,1,0,0,0,0,4,0,1,0,0,0,0,1,0,0.6223118,12.179469
200,3,1,1,2,2,1,1,1,0,0,0,2,4,0,0,1,1,0,0,0,8.453443,-10.316276
201,2,1,2,4,2,1,0,1,2,0,0,3,2,1,0,0,0,1,0,0,-5.7473683,6.947848
202,0,1,3,5,0,1,0,1,2,1,1,5,3,0,0,1,0,1,0,0,3.0393646,-6.6396546
203,2,0,2,2,2,2,1,1,0,1,1,4,1,1,0,0,1,0,0,0,-3.1448653,0.77319044
204,0,1,1,3,3,1,1,0,1,0,0,1,5,0,0,1,0,0,1,0,12.312288,2.9776063
205,0,1,2,3,0,1,1,1,3,0,0,3,3,1,0,0,0,1,0,0,-10.931656,9.616989
206,1,0,2,3,1,1,0,0,3,1,1,3,4,0,0,1,0,0,1,0,12.848515,3.9803014
207,1,1,1,5,2,1,1,1,3,0,0,2,3,1,0,0,0,0,0,1,7.3726172,11.990593
208,1,1,3,5,0,1,1,0,2,1,1,3,5,1,0,0,0,1,0,0,-10.631143,5.0556884
209,2,1,3,2,2,1,0,1,3,0,0,3,0,1,0,0,1,0,0,0,-0.19596465,2.5258617
210,2,1,1,2,3,2,1,0,3,0,0,3,0,0,1,0,0,0,1,0,7.0601254,0.41289824
211,1,1,1,8,0,2,1,1,3,0,0,3,0,1,0,0,0,1,0,0,-10.892789,9.474407
212,1,0,2,9,0,2,0,0,1,0,0,3,6,1,0,0,1,0,0,0,-3.063206,-0.8771358
213,2,0,1,1,1,1,1,1,0,0,0,3,7,1,0,0,0,0,0,1,9.732583,17.491442
214,0,1,1,4,2,2,0,0,1,0,0,4,7,0,1,0,1,0,0,0,0.7980523,-11.726257
215,1,1,3,7,2,1,0,1,3,1,1,3,4,0,1,0,0,1,0,0,11.818986,-4.718884
216,2,1,3,7,1,1,1,0,2,0,0,3,1,1,0,0,1,0,0,0,-8.384955,-6.846356
217,2,0,1,9,0,2,0,0,3,0,0,1,4,0,0,1,0,0,0,1,15.180739,12.124922
218,3,1,2,1,2,2,1,0,0,1,1,4,7,1,0,0,1,0,0,0,-8.266689,-4.551853
219,1,1,3,8,0,1,1,1,0,1,1,2,1,1,0,0,0,0,1,0,0.2545484,8.880037
220,2,0,1,9,2,2,1,1,1,0,0,5,6,1,0,0,0,0,0,1,9.902441,17.534098
221,0,1,1,7,0,1,0,1,2,0,0,4,3,0,0,1,1,0,0,0,10.090731,-10.854141
222,0,1,2,2,0,2,1,1,3,0,0,5,7,1,0,0,0,0,0,1,7.9275312,12.394973
223,3,1,1,10,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,3.9375925,17.914719
224,2,1,3,6,1,1,1,1,2,1,1,3,7,0,1,0,0,0,1,0,5.4560776,3.5995033
225,2,1,2,4,3,2,1,0,3,0,0,5,5,1,0,0,0,1,0,0,-16.230053,4.967493
226,2,0,1,9,0,2,1,1,0,0,0,5,6,1,0,0,1,0,0,0,-2.881725,1.7850386
227,0,0,2,6,1,3,1,1,1,1,1,4,5,0,1,0,0,0,0,1,19.176317,1.1834837
228,2,1,3,2,1,1,1,0,1,1,1,2,5,0,1,0,1,0,0,0,1.2680148,-12.247137
229,1,0,1,3,2,1,1,0,1,0,0,4,6,0,1,0,0,1,0,0,12.072076,-2.766729
230,2,1,5,1,0,2,0,1,2,0,0,3,6,1,0,0,0,0,0,1,6.603315,14.977511
231,1,1,2,0,0,2,1,0,1,0,0,5,4,1,0,0,0,1,0,0,-16.256115,5.5117373
232,0,0,2,1,0,2,0,1,3,0,0,4,5,1,0,0,0,0,1,0,-4.0856357,15.02083
233,2,1,0,3,2,2,0,1,3,0,0,4,3,0,1,0,1,0,0,0,0.203629,-12.1595
234,1,0,5,5,2,2,0,1,1,0,0,5,3,1,0,0,0,0,0,1,8.584657,15.378916
235,2,1,2,6,2,1,1,0,0,1,1,3,5,0,1,0,0,1,0,0,10.885074,-4.1365676
236,2,0,1,2,0,1,1,1,2,0,0,4,7,1,0,0,0,1,0,0,-8.804392,6.2745447
237,0,0,2,3,2,3,1,0,1,1,1,4,0,0,1,0,1,0,0,0,1.653126,-13.100969
238,1,0,3,2,0,3,1,0,1,1,1,1,7,1,0,0,1,0,0,0,-3.7722576,-0.30073804
239,2,1,1,2,1,2,0,1,3,0,0,2,1,1,0,0,0,0,1,0,-2.1348581,10.911749
240,1,1,2,4,0,2,1,0,2,0,0,5,0,0,0,1,0,1,0,0,1.1608543,-3.8613105
241,2,0,2,5,2,1,1,0,2,0,0,2,5,0,1,0,0,1,0,0,12.062738,-2.7638075
242,2,1,2,8,2,2,0,1,1,0,0,1,4,1,0,0,1,0,0,0,-0.22384213,2.4993725
243,1,1,5,6,2,1,1,1,0,1,1,2,6,0,1,0,0,0,0,1,19.614788,0.7133175
244,0,1,1,7,0,2,1,0,1,0,0,4,3,0,0,1,1,0,0,0,11.190081,-13.286304
245,1,0,2,10,2,1,1,0,2,1,1,5,5,1,0,0,0,1,0,0,-9.490137,4.6282125
246,2,1,1,7,3,2,1,0,1,0,0,1,4,0,1,0,0,0,1,0,7.064296,0.4083383
247,0,0,1,1,0,2,1,1,3,0,0,5,7,1,0,0,0,0,1,0,-5.791696,16.076872
248,1,1,0,8,2,1,1,1,3,0,0,2,3,0,1,0,0,1,0,0,13.896579,-4.852301
249,2,1,3,8,2,1,1,0,2,1,1,2,5,0,1,0,1,0,0,0,1.2793322,-12.219704
250,2,0,2,5,1,1,0,0,1,0,0,5,6,0,1,0,0,0,1,0,5.602858,2.0688465
251,1,0,1,1,0,2,1,1,1,0,0,4,5,0,0,1,1,0,0,0,9.27788,-12.337371
252,2,0,5,0,0,2,0,1,3,0,0,5,1,1,0,0,1,0,0,0,-2.3307538,0.24354067
253,0,1,2,2,1,1,1,1,1,0,0,4,6,0,1,0,1,0,0,0,-1.1202066,-12.578163
254,2,1,1,8,0,1,0,0,3,0,0,3,4,0,0,1,0,0,0,1,15.970808,11.439805
255,2,1,2,0,0,2,0,1,0,0,0,4,4,0,0,1,0,1,0,0,3.0355136,-6.620039
256,2,1,1,10,0,2,1,1,3,0,0,4,5,1,0,0,0,1,0,0,-10.896887,9.584909
257,2,0,1,6,1,2,0,0,3,0,0,3,3,0,1,0,0,0,0,1,20.769176,1.855387
